"id","queryId","date","totalEngagedSessions","averageBounceRate","totalNewUsers","totalConversions","createdAt"
cm9ltm6gw00mmsas84lhozfy6,cm9ltl6lc0001sas8x1pur1wo,2025-03-27 00:00:00.000,129,0.4605363086966357,268,0,2025-04-17 20:44:22.054
cm9ltm6gw00mnsas8c3zku44f,cm9ltl6lc0001sas8x1pur1wo,2025-04-07 00:00:00.000,38,0.2789799432267672,42,0,2025-04-17 20:44:22.054
cm9ltm6gw00mosas87bx49gv6,cm9ltl6lc0001sas8x1pur1wo,2025-03-25 00:00:00.000,34,0.5329407434670593,27,0,2025-04-17 20:44:22.054
cm9ltm6gw00mpsas809we70ky,cm9ltl6lc0001sas8x1pur1wo,2025-04-14 00:00:00.000,35,0.3688764394646747,39,6,2025-04-17 20:44:22.054
cm9ltm6gw00mqsas8uq1qba9k,cm9ltl6lc0001sas8x1pur1wo,2025-03-24 00:00:00.000,28,0.3481775426219871,28,0,2025-04-17 20:44:22.054
cm9ltm6gw00mrsas8qzycxilz,cm9ltl6lc0001sas8x1pur1wo,2025-04-16 00:00:00.000,23,0.4444444444444444,28,1,2025-04-17 20:44:22.054
cm9ltm6gw00mssas8wmvcvf4h,cm9ltl6lc0001sas8x1pur1wo,2025-04-11 00:00:00.000,24,0.5479166666666666,31,0,2025-04-17 20:44:22.054
cm9ltm6gw00mtsas8un818o30,cm9ltl6lc0001sas8x1pur1wo,2025-04-15 00:00:00.000,27,0.2478354978354979,27,0,2025-04-17 20:44:22.054
cm9ltm6gw00musas8h3c4473u,cm9ltl6lc0001sas8x1pur1wo,2025-04-01 00:00:00.000,25,0.2138888888888889,27,0,2025-04-17 20:44:22.054
cm9ltm6gw00mvsas8urkpwvjd,cm9ltl6lc0001sas8x1pur1wo,2025-04-09 00:00:00.000,18,0.4992481203007519,24,3,2025-04-17 20:44:22.054
cm9ltm6gw00mwsas8ej5wgq28,cm9ltl6lc0001sas8x1pur1wo,2025-03-20 00:00:00.000,18,0.524074074074074,26,8,2025-04-17 20:44:22.054
cm9ltm6gw00mxsas844grotab,cm9ltl6lc0001sas8x1pur1wo,2025-03-26 00:00:00.000,18,0.4035409035409036,23,0,2025-04-17 20:44:22.054
cm9ltm6gw00mysas8c933j4xx,cm9ltl6lc0001sas8x1pur1wo,2025-03-31 00:00:00.000,22,0.4176413255360624,24,0,2025-04-17 20:44:22.054
cm9ltm6gw00mzsas80ll6qb43,cm9ltl6lc0001sas8x1pur1wo,2025-04-10 00:00:00.000,25,0.4208333333333333,32,1,2025-04-17 20:44:22.054
cm9ltm6gw00n0sas8qodbgkkm,cm9ltl6lc0001sas8x1pur1wo,2025-04-02 00:00:00.000,22,0.2943469785575049,25,1,2025-04-17 20:44:22.054
cm9ltm6gw00n1sas8zj6fexpr,cm9ltl6lc0001sas8x1pur1wo,2025-03-18 00:00:00.000,34,0.6181818181818182,72,4,2025-04-17 20:44:22.054
cm9ltm6gw00n2sas8ipqiwtc5,cm9ltl6lc0001sas8x1pur1wo,2025-04-08 00:00:00.000,19,0.3196969696969697,24,0,2025-04-17 20:44:22.054
cm9ltm6gw00n3sas8smowd5a4,cm9ltl6lc0001sas8x1pur1wo,2025-03-21 00:00:00.000,19,0.1625,22,1,2025-04-17 20:44:22.054
cm9ltm6gw00n4sas8kyhmnow6,cm9ltl6lc0001sas8x1pur1wo,2025-04-04 00:00:00.000,14,0.5061576354679803,31,0,2025-04-17 20:44:22.054
cm9ltm6gw00n5sas8ilu3i3lo,cm9ltl6lc0001sas8x1pur1wo,2025-03-19 00:00:00.000,17,0.2798663324979114,26,1,2025-04-17 20:44:22.054
cm9ltm6gw00n6sas8upbjjh0h,cm9ltl6lc0001sas8x1pur1wo,2025-03-28 00:00:00.000,18,0.360515873015873,24,0,2025-04-17 20:44:22.054
cm9ltm6gw00n7sas8mv5ej4rg,cm9ltl6lc0001sas8x1pur1wo,2025-04-03 00:00:00.000,14,0.3994708994708995,26,1,2025-04-17 20:44:22.054
cm9ltm6gw00n8sas86k0c6z1b,cm9ltl6lc0001sas8x1pur1wo,2025-03-23 00:00:00.000,9,0.34,12,0,2025-04-17 20:44:22.054
cm9ltm6gw00n9sas814576qte,cm9ltl6lc0001sas8x1pur1wo,2025-04-05 00:00:00.000,8,0.2107843137254902,112,1,2025-04-17 20:44:22.054
cm9ltm6gw00nasas8a4y7qgtg,cm9ltl6lc0001sas8x1pur1wo,2025-03-29 00:00:00.000,7,0.4375,25,0,2025-04-17 20:44:22.054
cm9ltm6gw00nbsas8lrc5q9mo,cm9ltl6lc0001sas8x1pur1wo,2025-04-17 00:00:00.000,4,0.8466666666666667,9,0,2025-04-17 20:44:22.054
cm9ltm6gw00ncsas8tcdbdl1g,cm9ltl6lc0001sas8x1pur1wo,2025-03-22 00:00:00.000,5,0.4636363636363637,12,0,2025-04-17 20:44:22.054
cm9ltm6gw00ndsas8vkcuqhw7,cm9ltl6lc0001sas8x1pur1wo,2025-03-30 00:00:00.000,5,0.4041666666666667,17,0,2025-04-17 20:44:22.054
cm9ltm6gw00nesas8153n5kyi,cm9ltl6lc0001sas8x1pur1wo,2025-04-06 00:00:00.000,4,0.4320987654320987,28,0,2025-04-17 20:44:22.054
cm9ltm6gw00nfsas8ayp9bl9f,cm9ltl6lc0001sas8x1pur1wo,2025-04-12 00:00:00.000,2,0.3333333333333333,10,0,2025-04-17 20:44:22.054
cm9ltm6gw00ngsas8rou34u7r,cm9ltl6lc0001sas8x1pur1wo,2025-04-13 00:00:00.000,0,1.0,17,0,2025-04-17 20:44:22.054
cm9ltm6gw00nhsas8hgt8cjf8,cm9ltl6lc0001sas8x1pur1wo,2025-02-27 00:00:00.000,217,0.5332870647007367,984,0,2025-04-17 20:44:22.054
cm9ltm6gw00nisas8q2aoiakb,cm9ltl6lc0001sas8x1pur1wo,2025-02-21 00:00:00.000,80,0.3150566091135716,740,2,2025-04-17 20:44:22.054
cm9ltm6gw00njsas8tc3ju55c,cm9ltl6lc0001sas8x1pur1wo,2025-02-20 00:00:00.000,73,0.3996191756272401,74,2,2025-04-17 20:44:22.054
cm9ltm6gw00nksas8xbxrrsde,cm9ltl6lc0001sas8x1pur1wo,2025-02-28 00:00:00.000,69,0.3347099643471509,629,4,2025-04-17 20:44:22.054
cm9ltm6gw00nlsas8ou4eed7b,cm9ltl6lc0001sas8x1pur1wo,2025-03-04 00:00:00.000,37,0.5835258285851171,130,1,2025-04-17 20:44:22.054
cm9ltm6gw00nmsas8dkh4lp1e,cm9ltl6lc0001sas8x1pur1wo,2025-02-19 00:00:00.000,36,0.2988487702773417,39,3,2025-04-17 20:44:22.054
cm9ltm6gw00nnsas8rcw358wn,cm9ltl6lc0001sas8x1pur1wo,2025-02-18 00:00:00.000,41,0.3366883116883117,47,0,2025-04-17 20:44:22.054
cm9ltm6gw00nosas8ijxhxso2,cm9ltl6lc0001sas8x1pur1wo,2025-02-25 00:00:00.000,53,0.3771941638608305,104,1,2025-04-17 20:44:22.054
cm9ltm6gw00npsas84dcgthea,cm9ltl6lc0001sas8x1pur1wo,2025-03-05 00:00:00.000,32,0.5986730660643704,41,0,2025-04-17 20:44:22.054
cm9ltm6gw00nqsas826h7g226,cm9ltl6lc0001sas8x1pur1wo,2025-02-24 00:00:00.000,58,0.3754589546256213,76,3,2025-04-17 20:44:22.054
cm9ltm6gw00nrsas8kkzhv4wf,cm9ltl6lc0001sas8x1pur1wo,2025-03-11 00:00:00.000,32,0.2952163624070318,41,7,2025-04-17 20:44:22.054
cm9ltm6gw00nssas8zouv2h09,cm9ltl6lc0001sas8x1pur1wo,2025-02-26 00:00:00.000,37,0.4268292682926829,60,3,2025-04-17 20:44:22.054
cm9ltm6gw00ntsas87c9ccqdj,cm9ltl6lc0001sas8x1pur1wo,2025-02-17 00:00:00.000,43,0.274435531788473,40,1,2025-04-17 20:44:22.054
cm9ltm6gw00nusas8qbmhzmto,cm9ltl6lc0001sas8x1pur1wo,2025-03-03 00:00:00.000,32,0.242151344590369,51,2,2025-04-17 20:44:22.054
cm9ltm6gw00nvsas8zp5rk7sx,cm9ltl6lc0001sas8x1pur1wo,2025-03-07 00:00:00.000,26,0.5779964221824687,64,0,2025-04-17 20:44:22.054
